,L1_DAC,L1_DLAC,L1_HAC,L1_NGC-DA,L1_NGC-SA,L1_SLAC,L23_BP,L23_BTC,L23_ChC,L23_DBC,L23_LBC,L23_MC,L23_NBC,L23_NGC,L23_PC,L23_SBC,L4_BP,L4_BTC,L4_ChC,L4_DBC,L4_LBC,L4_MC,L4_NBC,L4_NGC,L4_PC,L4_SBC,L4_SP,L4_SS,L5_BP,L5_BTC,L5_ChC,L5_DBC,L5_LBC,L5_MC,L5_NBC,L5_NGC,L5_SBC,L5_STPC,L5_TTPC1,L5_TTPC2,L5_UTPC,L6_BP,L6_BPC,L6_BTC,L6_ChC,L6_DBC,L6_IPC,L6_LBC,L6_MC,L6_NBC,L6_NGC,L6_SBC,L6_TPC_L1,L6_TPC_L4,L6_UTPC,
L5_NGC,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,19,11,9,0,201,0,0,0,4,39,0,14,126,94,136,0,0,301,2606,2675,265,9,549,0,0,5,160,27,38,33,0,0,190,259,387, 
L5_SBC,0,0,0,0,0,0,0,10,5,10,79,55,43,0,845,18,0,11,12,44,307,190,227,0,7942,96,2056,908,26,545,52,203,833,1412,718,8,136,2704,24219,21821,2456,11,4794,25,0,0,282,205,64,100,0,12,2357,2555,3249, 
L5_STPC,7,0,15,0,8,0,0,85,66,18,405,236,209,11,4126,70,0,203,49,74,767,1055,689,4,17965,283,5605,2450,189,1657,296,549,3974,7684,3721,29,289,10388,103223,87614,9743,72,37489,440,91,68,15336,2906,1957,1183,18,346,18049,17203,24907, 
L5_TTPC1,7,15,17,15,0,28,0,657,179,226,2337,1526,1250,128,27843,574,0,985,367,496,5244,6184,3406,74,103992,1615,31331,14115,1486,14846,3166,5579,33885,68708,30517,205,2450,87437,884902,745429,84394,820,387199,5600,936,922,171961,34267,23036,13665,245,3829,194518,181054,264504, 
L5_TTPC2,21,2,21,3,8,6,0,434,77,156,1648,1032,733,61,18507,383,0,973,365,505,5315,6982,3898,71,113787,1921,34255,14774,1172,12170,2965,4659,29334,58093,26011,183,2039,78002,766209,650949,73660,607,297368,3443,613,586,121745,25363,16936,9655,144,2823,148030,141098,202398, 
L5_UTPC,11,9,15,0,0,13,0,136,52,38,498,357,248,18,5361,100,0,219,23,95,1034,1375,647,28,21201,289,6426,2769,140,1898,371,609,4632,9375,4332,24,283,12542,119615,102391,11604,57,46129,456,97,71,18242,3946,2466,1593,13,337,22353,21616,30374, 
L6_BP,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,0,0,0,5,0,27,40,39,0,685,0,321,111,10,98,9,64,178,470,103,0,46,480,5660,4077,716,26,7058,99,41,37,6247,799,613,433,0,54,3297,3173,4112, 
L6_BPC,9,0,0,0,0,0,0,103,14,0,591,325,309,10,7097,132,0,294,86,90,1317,1753,1043,37,33934,432,11199,4691,71,3405,732,1230,8424,18153,8216,15,732,19376,206513,159555,18520,2026,539458,10088,2334,1683,509537,62154,58111,26163,446,6554,231556,201357,311826, 
L6_BTC,0,0,0,0,0,0,0,3,0,0,0,0,3,0,24,2,0,25,0,4,63,73,35,0,1258,7,293,113,73,263,116,212,900,2375,1156,0,62,2379,28764,22438,2451,59,28539,473,65,60,21969,3105,2591,1242,8,274,14429,12552,17464, 
L6_ChC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,129,4,0,215,0,0,0,300,0,0,0,0,0,67,67,92, 
